epoch,loss,knn_acc
1,3.8246858052804438,
2,3.5940343045394645,
3,3.50274429034332,
4,3.451959050419083,
5,3.4179469357684695,0.5868
6,3.3913280026708157,
7,3.3686903866244036,
8,3.354058658878263,
9,3.340877331478495,
10,3.3297680813280173,0.6537
11,3.3203217296380543,
12,3.3105263807709484,
13,3.3049990434805347,
14,3.29599614057895,
15,3.2910006351568635,0.6903
16,3.285274123107578,
17,3.2803422436976706,
18,3.274729946663987,
19,3.2690322139656955,
20,3.2652474905861477,0.7085
21,3.2605877478205136,
22,3.2582346822174504,
23,3.2538769944223946,
24,3.2515910978353895,
25,3.2458507825409404,0.7211
26,3.242851406602945,
27,3.242254014815014,
28,3.2370030345745793,
29,3.2379196392284006,
30,3.233998516610276,0.7351
31,3.2310635616165726,
32,3.2280765315482007,
33,3.2262296997172886,
34,3.2242839025016328,
35,3.2231904385795054,0.7421
36,3.2211041273441876,
37,3.2193921335833324,
38,3.217801283019453,
39,3.2172298971730524,
40,3.213641029313951,0.7515
41,3.214402033333284,
42,3.2121948750162552,
43,3.2075178430877176,
44,3.2069304071834237,
45,3.2032926903796715,0.7596
46,3.2035942700394595,
47,3.203977279870672,
48,3.2031558771902713,
49,3.1999406613094705,
50,3.200038692862673,0.7638
51,3.196213346437364,
52,3.198349877295207,
53,3.193131805839978,
54,3.193629297495804,
55,3.1913235144792234,0.7744
56,3.1927920645544074,
57,3.189592886215288,
58,3.189073418532993,
59,3.190169945874379,
60,3.1874858807967965,0.7755
61,3.1855265944623765,
62,3.1842452829534356,
63,3.1812939717125497,
64,3.1820193576446414,
65,3.1802603157473284,0.7802
66,3.1775562061085134,
67,3.179214981240286,
68,3.177971751375479,
69,3.1747524072815607,
70,3.1761284613273513,0.7874
71,3.1756458401527357,
72,3.1737671624988355,
73,3.1733765254100064,
74,3.17133161169924,
75,3.170486365329288,0.7886
76,3.168552877655713,
77,3.169647018979667,
78,3.1682269811324977,
79,3.1679969120880402,
80,3.1668505454948708,0.7923
81,3.168583649221364,
82,3.163487395312203,
83,3.1648437674616425,
84,3.1652987671875312,
85,3.164278208980487,0.7925
86,3.164589532358851,
87,3.1614438486160297,
88,3.158552687238334,
89,3.1595277245920843,
90,3.1608097611255133,0.7965
91,3.1588735281276334,
92,3.1609622143905387,
93,3.158456585318728,
94,3.1588079569129115,
95,3.1552694796294776,0.8021
96,3.1568644788597977,
97,3.155625393692876,
98,3.156151067584791,
99,3.1535597183334994,
100,3.1539597474658687,0.8026
101,3.1514663085742125,
102,3.151080107414158,
103,3.1541549078786266,
104,3.152786265567384,
105,3.1510538377163506,0.8039
106,3.149917952993005,
107,3.1495869486341097,
108,3.148989994913607,
109,3.1465668888922385,
110,3.147156150026602,0.812
111,3.1475315194734383,
112,3.1465761026560726,
113,3.1433918964542285,
114,3.148225793459962,
115,3.14531575855006,0.8145
116,3.1436850081332666,
117,3.145719407004675,
118,3.1456256440903863,
119,3.1419588884531917,
120,3.1419654594646067,0.8167
121,3.141434020177961,
122,3.139910225984229,
123,3.1401261254553607,
124,3.141048479934966,
125,3.14005101536056,0.8172
126,3.139236522850398,
127,3.1398405784528785,
128,3.13937128826537,
129,3.1389612687534623,
130,3.138303343068317,0.8192
131,3.139095760032859,
132,3.1370376963621522,
133,3.135843602093783,
134,3.137280154625066,
135,3.1336216334344176,0.8193
136,3.135756594881358,
137,3.1367986418984155,
138,3.1325965632855053,
139,3.1338812999627654,
140,3.1334726019797037,0.8215
141,3.13203875111862,
142,3.1323076805598298,
143,3.1301877571892343,
144,3.1312154307102884,
145,3.130566031313126,0.8261
146,3.1305661760127497,
147,3.130375775423917,
148,3.1296334947422433,
149,3.1304924683442645,
150,3.128860958407081,0.8239
151,3.1288762370389187,
152,3.1309295479069905,
153,3.1282509344030127,
154,3.126123252812482,
155,3.12942956840183,0.8234
156,3.127836802857481,
157,3.1262998999157268,
158,3.12887505959915,
159,3.1246459597051524,
160,3.1244871256140834,0.8273
161,3.1240546654494867,
162,3.1242116077608704,
163,3.1242771289107436,
164,3.1242513213969683,
165,3.1249811249414265,0.8307
166,3.1234362293297138,
167,3.124488837587696,
168,3.123590689157249,
169,3.124469008854806,
170,3.1220082968053684,0.8312
171,3.121928627451312,
172,3.121920382930741,
173,3.121423725282032,
174,3.119837669953799,
175,3.1224133299804375,0.8338
176,3.1215967744321738,
177,3.118808852573058,
178,3.1202804929315664,
179,3.1180378929753614,
180,3.120429216975897,0.8345
181,3.120132286325765,
182,3.1174713322814083,
183,3.119767947325175,
184,3.1185407311907194,
185,3.1167969795256356,0.8345
186,3.118740652037949,
187,3.117641876052192,
188,3.117974939785907,
189,3.116721305590738,
190,3.117789784100541,0.833
191,3.113833558391517,
192,3.1166859573652435,
193,3.116144665682667,
194,3.116067718757405,
195,3.115383768509048,0.8352
196,3.1155259908390414,
197,3.116617650594968,
198,3.1130912334451906,
199,3.114097491727138,
200,3.1146030981623105,0.8364
