experiment,setting,model,tn,fp,fn,tp,test_acc,test_prec,test_rec,test_f1,test_auc,test_logloss,roi
baseline,default,lr,598,541,569,783,0.5543958249698916,0.5913897280966768,0.5791420118343196,0.585201793721973,0.5828019232067992,0.6794270938776509,-0.007815353651523863
baseline,default,rf,576,563,539,813,0.5576073865917303,0.590843023255814,0.6013313609467456,0.596041055718475,0.5718462161867308,0.6884297419642263,-0.009182277176713037
baseline,default,xgb,544,595,538,814,0.5451625853071056,0.5777146912704045,0.6020710059171598,0.5896414342629481,0.5604362671501525,0.6985795051998991,-0.021502350000000007
training_size,train<= 2021,lr,456,683,463,889,0.5399437976716178,0.5655216284987278,0.6575443786982249,0.6080711354309167,0.5623477201531502,0.6889637026910271,0.013634544549527122
training_size,train<= 2021,rf,506,633,502,850,0.5443596949016459,0.5731625084288604,0.628698224852071,0.5996472663139331,0.568796722963671,0.6863946399796192,-0.002729955511616405
training_size,train<= 2021,xgb,523,616,553,799,0.5307105580088318,0.5646643109540636,0.5909763313609467,0.5775207806288399,0.5339736663012816,0.7321426018692562,-0.05905426110607434
training_size,train<= 2022,lr,596,543,572,780,0.5523885989562425,0.5895691609977324,0.5769230769230769,0.5831775700934579,0.5746190730995215,0.6840030180926341,-0.027510343007915567
training_size,train<= 2022,rf,529,610,482,870,0.5616218386190285,0.5878378378378378,0.643491124260355,0.614406779661017,0.5719819368178253,0.6892712723859677,-0.05069894099848714
training_size,train<= 2022,xgb,519,620,499,853,0.5507828181453231,0.5790902919212492,0.6309171597633136,0.6038938053097346,0.5539233003101445,0.7062984481486716,-0.051073988711194736
training_size,train<= 2023,lr,636,503,611,741,0.5527900441589723,0.5956591639871383,0.5480769230769231,0.5708782742681048,0.5799478936677559,0.6822848228844646,-0.042983819628647224
training_size,train<= 2023,rf,539,600,510,842,0.5543958249698916,0.5839112343966713,0.6227810650887574,0.602720114531138,0.5729663984290174,0.6874712255430943,-0.015162318840579713
training_size,train<= 2023,xgb,533,606,523,829,0.5467683661180249,0.5777003484320558,0.6131656804733728,0.5949049156799427,0.5654413712848912,0.6951788751379586,-0.030928289797930015
training_size,train<= 2024,lr,598,541,569,783,0.5543958249698916,0.5913897280966768,0.5791420118343196,0.585201793721973,0.5828019232067992,0.6794270938776509,-0.007815353651523863
training_size,train<= 2024,rf,576,563,539,813,0.5576073865917303,0.590843023255814,0.6013313609467456,0.596041055718475,0.5718462161867308,0.6884297419642263,-0.009182277176713037
training_size,train<= 2024,xgb,544,595,538,814,0.5451625853071056,0.5777146912704045,0.6020710059171598,0.5896414342629481,0.5604362671501525,0.6985795051998991,-0.021502350000000007
balance,none,lr,598,541,569,783,0.5543958249698916,0.5913897280966768,0.5791420118343196,0.585201793721973,0.5828019232067992,0.6794270938776509,-0.007815353651523863
balance,class_weight,lr,730,409,715,637,0.548775592131674,0.6089866156787763,0.47115384615384615,0.5312760633861551,0.5827830911575087,0.683937981032098,-0.022677602844083294
balance,smote,lr,732,407,721,631,0.5471698113207547,0.6078998073217726,0.46671597633136097,0.5280334728033472,0.5820018858024532,0.6844380245943336,-0.020937239979705743
balance,none,rf,576,563,539,813,0.5576073865917303,0.590843023255814,0.6013313609467456,0.596041055718475,0.5718462161867308,0.6884297419642263,-0.009182277176713037
balance,class_weight,rf,671,468,632,720,0.5584102769971899,0.6060606060606061,0.5325443786982249,0.5669291338582678,0.5749931165612937,0.6900354387540508,-0.024490986908358516
balance,smote,rf,663,476,616,736,0.5616218386190285,0.6072607260726073,0.5443786982248521,0.5741029641185649,0.5773776436300918,0.6892033393839541,-0.01420386740331492
augmentation,no_aug,lr,598,541,569,783,0.5543958249698916,0.5913897280966768,0.5791420118343196,0.585201793721973,0.5828019232067992,0.6794270938776509,-0.007815353651523863
augmentation,noise_aug,lr,599,540,569,783,0.5547972701726215,0.5918367346938775,0.5791420118343196,0.5854205607476636,0.5825012597991595,0.6795576947474193,-0.006493329499712477
augmentation,no_aug,rf,576,563,539,813,0.5576073865917303,0.590843023255814,0.6013313609467456,0.596041055718475,0.5718462161867308,0.6884297419642263,-0.009182277176713037
augmentation,noise_aug,rf,595,544,559,793,0.5572059413890004,0.5931189229618549,0.5865384615384616,0.5898103384157679,0.567512896706859,0.6940754825586043,-0.025909834469328145
pca,no_pca,lr,598,541,569,783,0.5543958249698916,0.5913897280966768,0.5791420118343196,0.585201793721973,0.5828019232067992,0.6794270938776509,-0.007815353651523863
pca,pca_95var,lr,601,538,578,774,0.5519871537535126,0.5899390243902439,0.5724852071005917,0.5810810810810811,0.5809544342332889,0.6799152794947538,-0.0408952131147541
pca,no_pca,rf,576,563,539,813,0.5576073865917303,0.590843023255814,0.6013313609467456,0.596041055718475,0.5718462161867308,0.6884297419642263,-0.009182277176713037
pca,pca_95var,rf,568,571,589,763,0.5343235648334003,0.5719640179910045,0.5643491124260355,0.5681310498883098,0.551099142297562,0.7029296780839183,-0.03336707431796801
