experiment,setting,model,cv_auc_mean,test_auc,test_f1,roi,profit,bets
augmentation,no_aug,lr,0.5954119445253131,0.5828019232067992,0.585201793721973,-0.007815353651523863,-13.590899999999998,1739.0
augmentation,noise_aug,lr,0.5944514529973939,0.5825012597991595,0.5854205607476636,-0.006493329499712477,-11.291899999999998,1739.0
augmentation,no_aug,rf,0.5921488225866215,0.5718462161867308,0.596041055718475,-0.009182277176713037,-17.822800000000004,1941.0
augmentation,noise_aug,rf,0.5841431648887715,0.567512896706859,0.5898103384157679,-0.025909834469328145,-53.21880000000001,2054.0
balance,none,lr,0.5954119445253131,0.5828019232067992,0.585201793721973,-0.007815353651523863,-13.590899999999998,1739.0
balance,class_weight,lr,0.5954007801877157,0.5827830911575087,0.5312760633861551,-0.022677602844083294,-44.65220000000001,1969.0
balance,smote,lr,0.5943917647871587,0.5820018858024532,0.5280334728033472,-0.020937239979705743,-41.26730000000002,1971.0
balance,smote,rf,0.5908518081932401,0.5773776436300918,0.5741029641185649,-0.01420386740331492,-28.279900000000005,1991.0
balance,class_weight,rf,0.5928052870808406,0.5749931165612937,0.5669291338582678,-0.024490986908358516,-48.63910000000001,1986.0
balance,none,rf,0.5921488225866215,0.5718462161867308,0.596041055718475,-0.009182277176713037,-17.822800000000004,1941.0
baseline,default,lr,0.5954119445253131,0.5828019232067992,0.585201793721973,-0.007815353651523863,-13.590899999999998,1739.0
baseline,default,rf,0.5921488225866215,0.5718462161867308,0.596041055718475,-0.009182277176713037,-17.822800000000004,1941.0
baseline,default,xgb,0.5730266352863401,0.5604362671501525,0.5896414342629481,-0.021502350000000007,-43.004700000000014,2000.0
pca,no_pca,lr,0.5954119445253131,0.5828019232067992,0.585201793721973,-0.007815353651523863,-13.590899999999998,1739.0
pca,pca_95var,lr,0.6035675438830534,0.5809544342332889,0.5810810810810811,-0.0408952131147541,-62.3652,1525.0
pca,no_pca,rf,0.5921488225866215,0.5718462161867308,0.596041055718475,-0.009182277176713037,-17.822800000000004,1941.0
pca,pca_95var,rf,0.5565642487013689,0.551099142297562,0.5681310498883098,-0.03336707431796801,-70.93839999999999,2126.0
training_size,train<= 2024,lr,0.5954119445253131,0.5828019232067992,0.585201793721973,-0.007815353651523863,-13.590899999999998,1739.0
training_size,train<= 2023,lr,0.5890226089131015,0.5799478936677559,0.5708782742681048,-0.042983819628647224,-81.02450000000002,1885.0
training_size,train<= 2022,lr,0.595855954958546,0.5746190730995215,0.5831775700934579,-0.027510343007915567,-52.1321,1895.0
training_size,train<= 2023,rf,0.590634072602173,0.5729663984290174,0.602720114531138,-0.015162318840579713,-29.293600000000005,1932.0
training_size,train<= 2022,rf,0.5955743232822234,0.5719819368178253,0.614406779661017,-0.05069894099848714,-100.536,1983.0
training_size,train<= 2024,rf,0.5921488225866215,0.5718462161867308,0.596041055718475,-0.009182277176713037,-17.822800000000004,1941.0
training_size,train<= 2021,rf,0.5845972062519731,0.568796722963671,0.5996472663139331,-0.002729955511616405,-5.522699999999988,2023.0
training_size,train<= 2023,xgb,0.5716717766287104,0.5654413712848912,0.5949049156799427,-0.030928289797930015,-62.7535,2029.0
training_size,train<= 2021,lr,0.5776855478386453,0.5623477201531502,0.6080711354309167,0.013634544549527122,27.39179999999999,2009.0
training_size,train<= 2024,xgb,0.5730266352863401,0.5604362671501525,0.5896414342629481,-0.021502350000000007,-43.004700000000014,2000.0
training_size,train<= 2022,xgb,0.5659168131538821,0.5539233003101445,0.6038938053097346,-0.051073988711194736,-108.58330000000001,2126.0
training_size,train<= 2021,xgb,0.5610628005989098,0.5339736663012816,0.5775207806288399,-0.05905426110607434,-130.2737,2206.0
