experiment,setting,model,cv_auc_mean,test_auc,test_f1,test_logloss,roi,profit,bets
spread_augmentation,no_aug,lr,0.5853052218125406,0.626108202352654,0.5327635327635327,0.665885703209761,-0.03990827794561934,-66.04820000000001,1655.0
spread_augmentation,noise_aug,lr,0.5843237899967305,0.6260160279587007,0.5335235378031383,0.6659247839498559,-0.037349277978339354,-62.07450000000001,1662.0
spread_augmentation,no_aug,rf,0.5820662659061668,0.6103866261445527,0.50390625,0.6729897039436021,-0.03722554089709762,-70.54239999999999,1895.0
spread_augmentation,noise_aug,rf,0.5746111370917861,0.6074500278470529,0.5004935834155971,0.675647135954687,-0.0314293940911367,-62.7645,1997.0
spread_balance,smote,lr,0.5841039216385271,0.6262730776770495,0.5730240549828179,0.6677403236986446,-0.04367203647416413,-71.84049999999999,1645.0
spread_balance,class_weight,lr,0.585281002387523,0.6262367272118285,0.571551724137931,0.6675791574885811,-0.056034122042341206,-89.99079999999998,1606.0
spread_balance,none,lr,0.5853052218125406,0.626108202352654,0.5327635327635327,0.665885703209761,-0.03990827794561934,-66.04820000000001,1655.0
spread_balance,class_weight,rf,0.5823234676866405,0.6119613802271644,0.539827036868457,0.6730398751212869,-0.0493744345081536,-93.86079999999998,1901.0
spread_balance,none,rf,0.5820662659061668,0.6103866261445527,0.50390625,0.6729897039436021,-0.03722554089709762,-70.54239999999999,1895.0
spread_balance,smote,rf,0.581147353437758,0.6084529112178834,0.5204081632653061,0.6741485098585382,-0.05810597402597403,-111.85400000000001,1925.0
spread_baseline,default,lr,0.5853052218125406,0.626108202352654,0.5327635327635327,0.665885703209761,-0.03990827794561934,-66.04820000000001,1655.0
spread_baseline,default,rf,0.5820662659061668,0.6103866261445527,0.50390625,0.6729897039436021,-0.03722554089709762,-70.54239999999999,1895.0
spread_baseline,default,xgb,0.5599320179175333,0.6006213333090997,0.5029411764705882,0.6805880892837645,-0.04984407535944471,-100.53549999999998,2017.0
spread_pca,no_pca,lr,0.5853052218125406,0.626108202352654,0.5327635327635327,0.665885703209761,-0.03990827794561934,-66.04820000000001,1655.0
spread_pca,pca_95var,lr,0.5969787741126195,0.6255454192571782,0.5340215861098077,0.6661848085511651,-0.06740413279132791,-99.4885,1476.0
spread_pca,no_pca,rf,0.5820662659061668,0.6103866261445527,0.50390625,0.6729897039436021,-0.03722554089709762,-70.54239999999999,1895.0
spread_pca,pca_95var,rf,0.5582874307610315,0.5818054237490571,0.48633364750235625,0.686365902401567,-0.05977916468913147,-125.9547,2107.0
spread_training_size,train<= 2024,lr,0.5853052218125406,0.626108202352654,0.5327635327635327,0.665885703209761,-0.03990827794561934,-66.04820000000001,1655.0
spread_training_size,train<= 2023,lr,0.5769490688258628,0.6244464667996921,0.5425925925925925,0.6664751811739187,-0.04004101778050276,-65.3069,1631.0
spread_training_size,train<= 2022,lr,0.5735747418291844,0.6203602850395765,0.4994974874371859,0.6683422730066714,-0.02272906537007023,-42.0715,1851.0
spread_training_size,train<= 2023,rf,0.5766074263241087,0.6129785441379032,0.5055582406959884,0.6705644584695554,-0.014904976177871884,-28.15549999999999,1889.0
spread_training_size,train<= 2024,rf,0.5820662659061668,0.6103866261445527,0.50390625,0.6729897039436021,-0.03722554089709762,-70.54239999999999,1895.0
spread_training_size,train<= 2021,lr,0.5693274275506982,0.6101042609236393,0.5237651444547996,0.6774585793411251,-0.0027382745471877918,-5.744899999999987,2098.0
spread_training_size,train<= 2021,rf,0.5759483833896706,0.6093149365359825,0.5317387304507819,0.6758102305182501,-0.036606904995102836,-74.75129999999999,2042.0
spread_training_size,train<= 2022,rf,0.5815237218385285,0.6062478660329569,0.5024061597690086,0.6755263483886587,-0.06139626556016598,-118.37200000000001,1928.0
spread_training_size,train<= 2024,xgb,0.5599320179175333,0.6006213333090997,0.5029411764705882,0.6805880892837645,-0.04984407535944471,-100.53549999999998,2017.0
spread_training_size,train<= 2023,xgb,0.5631120287999984,0.591718714907196,0.5098406747891283,0.6833692639663143,-0.058409233791748526,-118.9212,2036.0
spread_training_size,train<= 2022,xgb,0.5586016184634526,0.5871327142502911,0.49409541804440243,0.6916230509369128,-0.03740549038010323,-79.71109999999999,2131.0
spread_training_size,train<= 2021,xgb,0.5556723560235755,0.5757475538084252,0.5013550135501355,0.7184492408754247,-0.0632688098495212,-138.74849999999998,2193.0
